url,http_status,all_gravity_form_ids,site_chrome_gf_ids,page_specific_gravity_form_ids,notes
"https://amerilife.com/connect/","200","10,44,86","44,86","10","Sitewide forms 44 (Contact Us popup) and 86 appear on most templates; main Connect page field form is 10 (submit label Connect with an Agent)."
"https://amerilife.com/broker-contact-page/","200","44,56,86","44,86","56",""
"https://amerilife.com/existinglead/","200","13,44,86","44,86","13",""
"https://amerilife.com/find-an-agent/","404","44,86","44,86","","URL returns 404 on live site (Feb 2026); only global chrome forms in HTML. No page-level Gravity Form to report."
"https://amerilife.com/contact/","200","1,44,86","44,86","1",""
"https://amerilife.com/valspar/","200","44,69,86","44,86","69",""
"https://amerilife.com/worksite/lead/","200","14,44,86","44,86","14",""
"https://amerilife.com/state-specific-privacy-addendum-request/","200","44,86,89","44,86","89",""
"https://amerilife.com/alabama/","200","44,63,86,98","44,86","63,98","Agency location template: sampled page includes two non-chrome forms (63 and 98)."
"https://amerilife.com/florida/","200","44,63,86","44,86","63","Single main location form 63 on this sample."
"https://amerilife.com/georgia/","200","44,63,86,98","44,86","63,98","Same two-form pattern as Alabama sample."
"https://amerilife.com/texas/","200","44,63,86","44,86","63","Only form 63 in addition to chrome on this sample."
"https://amerilife.com/dallas/","200","44,63,86,98","44,86","63,98",""
